,distance from center,left,right
0,-0.405246031274,617.264401105,467.657849236
1,-0.40928658368,598.818263478,517.571377583
2,-0.412441063891,573.778445678,586.414361011
3,-0.414949939991,551.030853847,674.624140806
4,-0.417385717468,538.414438191,736.255165782
5,-0.419454493716,533.342615437,757.491343145
6,-0.421986116413,526.786064972,820.167970901
7,-0.428026196399,520.46629476,969.163706359
8,-0.429544958889,514.401791066,988.170244734
9,-0.425902122712,508.357087608,754.698498549
10,-0.424818993754,506.226771536,646.884473919
11,-0.425766168874,506.239776658,606.913080505
12,-0.429326520971,505.928259848,621.932806464
13,-0.435831753981,503.909233595,719.994009232
14,-0.441328610094,505.486027332,909.0663925
15,-0.442216470628,507.134669956,1121.65119789
16,-0.441012497108,513.151290381,1348.44363603
17,-0.439644895968,529.754850055,1666.47128269
18,-0.438302075419,557.436341044,2163.04318853
19,-0.436260568741,589.308288771,3106.57359092
20,-0.432956181381,627.195554551,3585.82030963
21,-0.426933911777,674.338148742,2665.64321466
22,-0.41791336117,719.040224332,1693.9204208
23,-0.40904814299,780.869890217,1125.62117451
24,-0.402376384435,829.040274977,922.56248312
25,-0.395956296784,879.606688027,790.398491344
26,-0.393663922277,916.532441705,786.950423001
27,-0.392400135984,928.506059712,850.386506423
28,-0.390712667598,911.267354859,980.994839839
29,-0.387801591141,868.993088451,1139.16104139
30,-0.384097211043,806.64457131,1130.45651917
31,-0.380666173216,754.6355193,1190.76160849
32,-0.377994252889,716.586677033,1248.93709301
33,-0.380646953219,677.830230233,1734.14843174
34,-0.376114169789,646.871850916,1255.17450339
35,-0.374002361151,627.261685752,1059.11140958
36,-0.370257849944,603.752502884,855.95084027
37,-0.364256389798,582.53181426,670.224398141
38,-0.363480350674,553.852234279,624.269220345
39,-0.364532321416,529.528222156,616.267782062
40,-0.366429556078,507.920120165,644.39961853
41,-0.368865338692,489.360835209,696.147042966
42,-0.371922426637,473.640158005,761.781541807
43,-0.374163958155,462.311101928,788.537486222
44,-0.377068820942,453.446453715,858.860169155
45,-0.382573249501,444.382414498,1014.64428097
46,-0.38508980282,440.393427025,1083.14698911
47,-0.382431471845,435.453428151,864.674343965
48,-0.381071328357,435.251477206,743.15790156
49,-0.380115754207,435.058615587,647.331759572
50,-0.379307517204,438.322366057,576.954558459
51,-0.380207308352,440.073615256,543.128834269
52,-0.382937513932,442.805824857,564.109426738
53,-0.384644662959,446.661951683,595.664065743
54,-0.386757706429,456.723268043,641.873941585
55,-0.387701330662,471.750352426,641.191571359
56,-0.389199255485,493.117955727,688.787472052
57,-0.390654577769,519.937673142,764.208961489
58,-0.390077277799,554.648962414,764.307440146
59,-0.381746071051,600.64212574,617.021588686
60,-0.377659426153,645.930265855,564.550219971
